iter	Logloss
0	0.6707764276
1	0.650396716
2	0.6314254954
3	0.6165869957
4	0.6004521944
5	0.5864820206
6	0.5758442682
7	0.5661969237
8	0.5561971764
9	0.5483127837
10	0.538534804
11	0.5317135069
12	0.5249496144
13	0.5195179624
14	0.5128325128
15	0.5068482381
16	0.5015816544
17	0.4980698207
18	0.4943774383
19	0.4902565906
20	0.4872577693
21	0.4848789846
22	0.4826962649
23	0.4806339468
24	0.4778541031
25	0.4755108664
26	0.4734223392
27	0.4714903034
28	0.4696386015
29	0.4681059048
30	0.4663201045
31	0.4647402141
32	0.4636247933
33	0.460911865
34	0.4599099578
35	0.4585245899
36	0.4572490357
37	0.4556521004
38	0.4547290184
39	0.4528925784
40	0.4512324311
41	0.4501940599
42	0.4493280849
43	0.4469303551
44	0.4456477647
45	0.4442981988
46	0.443435277
47	0.4418647396
48	0.4406072867
49	0.4394455009
50	0.4383739036
51	0.4370693215
52	0.4363900811
53	0.4353108234
54	0.4345943486
55	0.4338022405
56	0.4328554568
57	0.4317943501
58	0.4309264163
59	0.4302872883
60	0.4294691603
61	0.4285386537
62	0.4274382154
63	0.426554863
64	0.4258221268
65	0.4252971035
66	0.4244894905
67	0.4236840809
68	0.4227585224
69	0.4219594675
70	0.4210418615
71	0.4204050413
72	0.4198490592
73	0.4188210606
74	0.4179761247
75	0.4175275483
76	0.4159934478
77	0.4151853722
78	0.4141562091
79	0.4134799806
80	0.4129699582
81	0.412119048
82	0.4115747583
83	0.4107558526
84	0.41038124
85	0.4096524333
86	0.4090343484
87	0.4082459023
88	0.4073764369
89	0.4067313405
90	0.4060468863
91	0.4054169057
92	0.4049394838
93	0.4044376433
94	0.4033250558
95	0.4027069633
96	0.4020156453
97	0.4015866289
98	0.401048421
99	0.4002448842
100	0.3995487314
101	0.3990621956
102	0.3985793218
103	0.3980822243
104	0.3975413654
105	0.3968014961
106	0.3964544761
107	0.3963728368
108	0.3959854428
109	0.395282856
110	0.3947790463
111	0.3940977806
112	0.3928984721
113	0.3923549786
114	0.3919227508
115	0.391667354
116	0.391127605
117	0.3900277978
118	0.3893815822
119	0.3889420643
120	0.3881724969
121	0.3875723291
122	0.3871545766
123	0.3863159391
124	0.3857543069
125	0.3830545191
126	0.3825308611
127	0.3819864763
128	0.3816125919
129	0.3812434478
130	0.3807665664
131	0.3801730673
132	0.379636211
133	0.3791665313
134	0.3787745449
135	0.3784177406
136	0.3780021307
137	0.3771027727
138	0.3763445118
139	0.3758710425
140	0.3752156959
141	0.3747553673
142	0.3743507319
143	0.3737456087
144	0.3734353323
145	0.3728466509
146	0.3724903206
147	0.372018363
148	0.3712566163
149	0.3708420819
150	0.3704731282
151	0.3700146373
152	0.3696120384
153	0.3691761664
154	0.368424828
155	0.3678097082
156	0.3665470151
157	0.3662276842
158	0.3655721692
159	0.3648257131
160	0.3645560671
161	0.3644585868
162	0.3633468008
163	0.3627159139
164	0.3623971638
165	0.3618795548
166	0.3615305416
167	0.361198938
168	0.3606891346
169	0.3603774412
170	0.3597451221
171	0.3592999008
172	0.3588141073
173	0.3583143362
174	0.357734791
175	0.3574231833
176	0.3568928218
177	0.3564692402
178	0.355875715
179	0.355499413
180	0.3551640428
181	0.3545826461
182	0.3540098035
183	0.3536343809
184	0.353205823
185	0.3526314175
186	0.3521293822
187	0.3517200765
188	0.3512896158
189	0.3506332827
190	0.3491831649
191	0.3483451636
192	0.3479640718
193	0.3477361182
194	0.3473743537
195	0.346955329
196	0.3460303943
197	0.3458092942
198	0.3456209424
199	0.3452563574
200	0.3448806816
201	0.3444731682
202	0.343968745
203	0.343634581
204	0.343229441
205	0.3425189376
206	0.3421032735
207	0.3416417573
208	0.3411944434
209	0.3408831933
210	0.3406164664
211	0.3401302204
212	0.3398800976
213	0.3396089836
214	0.3392756201
215	0.338904226
216	0.3385027106
217	0.3373523122
218	0.3363018553
219	0.3352918974
220	0.3349252988
221	0.33348585
222	0.3331694101
223	0.3325991198
224	0.3314296599
225	0.330971101
226	0.3306957845
227	0.3304273215
228	0.3297175109
229	0.3293808835
230	0.3288864924
231	0.3278176539
232	0.3274636911
233	0.3268641572
234	0.3263827318
235	0.3253545089
236	0.3251242479
237	0.3248389699
238	0.3243485801
239	0.3240135342
240	0.3234229572
241	0.3229911698
242	0.3227049227
243	0.3223129818
244	0.3220086174
245	0.3216283166
246	0.3212249005
247	0.3208584672
248	0.3205937866
249	0.3199632432
250	0.3192775494
251	0.3190189122
252	0.3184592697
253	0.3182440662
254	0.3177408783
255	0.3172474394
256	0.3165419512
257	0.3157378802
258	0.3149202716
259	0.3144471621
260	0.3139293758
261	0.3132189799
262	0.3129184296
263	0.312473675
264	0.311692839
265	0.3112348468
266	0.3105056952
267	0.3101067579
268	0.3095949008
269	0.3091452351
270	0.3088342761
271	0.3083721434
272	0.308134721
273	0.3076504137
274	0.3072934362
275	0.306870341
276	0.3066796481
277	0.3058526766
278	0.3056268785
279	0.3051015629
280	0.3042642103
281	0.3040309332
282	0.3038278596
283	0.3034369512
284	0.303008583
285	0.3021635682
286	0.3016020989
287	0.3011351679
288	0.3008772135
289	0.3003504561
290	0.3001109613
291	0.2996935738
292	0.299253322
293	0.299050134
294	0.2987357487
295	0.2984424305
296	0.2977301515
297	0.2972859613
298	0.296882697
299	0.2965114325
300	0.2956861833
301	0.2952280289
302	0.294960566
303	0.2945769186
304	0.2943544726
305	0.2940886378
306	0.2933128762
307	0.2930462247
308	0.2926579038
309	0.2922927527
310	0.2921131027
311	0.291736811
312	0.2913464106
313	0.2906995249
314	0.2904362045
315	0.2901909685
316	0.2898330219
317	0.2896192115
318	0.2891113906
319	0.2888762663
320	0.2885141768
321	0.2881154395
322	0.2878310941
323	0.2876604248
324	0.2873881044
325	0.2871126874
326	0.2867180148
327	0.2865187103
328	0.2862741858
329	0.286019178
330	0.2857329963
331	0.2852664361
332	0.2849893045
333	0.2847539094
334	0.2844843468
335	0.2839293079
336	0.2835878508
337	0.2829405234
338	0.2827946134
339	0.2826437732
340	0.2817153746
341	0.2813520109
342	0.2806555122
343	0.2804607129
344	0.2802128008
345	0.2798945556
346	0.2797371598
347	0.2791961444
348	0.278908582
349	0.278521359
350	0.2782044674
351	0.2776755339
352	0.2772451114
353	0.2769164744
354	0.2767262356
355	0.276521884
356	0.2762402995
357	0.2760648577
358	0.2758777801
359	0.2753260409
360	0.2751214833
361	0.2748936428
362	0.2745185927
363	0.2739198619
364	0.273698237
365	0.2733837708
366	0.2729952397
367	0.2725362544
368	0.2724068055
369	0.2716935368
370	0.2714977758
371	0.2710558607
372	0.2708278327
373	0.2704222833
374	0.269769741
375	0.2695238583
376	0.2691152416
377	0.2688320383
378	0.2685861093
379	0.2684443509
380	0.2678973619
381	0.2676003853
382	0.2674087539
383	0.2670253364
384	0.2668133473
385	0.2667025143
386	0.2664535264
387	0.266286398
388	0.2658926133
389	0.2656260107
390	0.2652598688
391	0.2648680963
392	0.2645361882
393	0.264341935
394	0.2641149671
395	0.2639381785
396	0.2634486759
397	0.2632831395
398	0.2629513891
399	0.262469212
400	0.2623485573
401	0.262198954
402	0.2617236549
403	0.2612879191
404	0.2608450669
405	0.2606369381
406	0.2602976257
407	0.2601292219
408	0.2599303861
409	0.2596772506
410	0.2592277816
411	0.2589613965
412	0.2587839171
413	0.25836651
414	0.2581292892
415	0.2580159395
416	0.2576916139
417	0.2573589102
418	0.2567031205
419	0.2563989082
420	0.2560643042
421	0.2559189285
422	0.2557458227
423	0.2554804846
424	0.2552846428
425	0.2550947335
426	0.2548688981
427	0.2545785853
428	0.2544358251
429	0.254303613
430	0.2540665997
431	0.2538034595
432	0.2534609892
433	0.2530963963
434	0.25279989
435	0.2526983895
436	0.2525077132
437	0.2523356224
438	0.2519061441
439	0.251523676
440	0.251264757
441	0.2509463324
442	0.2506639132
443	0.2505053481
444	0.2502857797
445	0.2501209446
446	0.249874543
447	0.249566663
448	0.2493517176
449	0.2490917817
450	0.2488313422
451	0.2485652159
452	0.2480056512
453	0.2478829946
454	0.2477327463
455	0.2476263568
456	0.247385881
457	0.2471164267
458	0.2469711017
459	0.2466173974
460	0.2464462412
461	0.2462458472
462	0.2459763689
463	0.24575849
464	0.2455826436
465	0.2453855886
466	0.2452224421
467	0.244999649
468	0.2448072431
469	0.2445597286
470	0.2443608046
471	0.2441218653
472	0.2439963969
473	0.2438620165
474	0.2436819767
475	0.2435404277
476	0.2433951169
477	0.2432756737
478	0.2431027105
479	0.2429119065
480	0.2426647067
481	0.2425771864
482	0.2423265165
483	0.2420962546
484	0.2418947687
485	0.2417490636
486	0.2414447124
487	0.2412212724
488	0.2409986377
489	0.240814934
490	0.2405890396
491	0.2404809906
492	0.2402812151
493	0.2399764105
494	0.2397120251
