iter	Passed	Remaining
408	4785	6914
409	4796	6902
410	4808	6891
411	4819	6877
412	4827	6861
413	4835	6844
414	4845	6829
415	4856	6817
416	4865	6802
417	4876	6789
418	4886	6775
419	4896	6761
420	4908	6750
421	4927	6749
422	4941	6740
423	4955	6732
424	4972	6728
425	4985	6717
426	4998	6707
427	5013	6699
428	5026	6690
429	5038	6679
430	5049	6666
431	5060	6654
432	5070	6639
433	5080	6625
434	5090	6611
435	5101	6599
436	5110	6584
437	5122	6572
438	5132	6559
439	5143	6546
440	5153	6532
441	5165	6520
442	5175	6506
443	5185	6493
444	5195	6479
445	5204	6465
446	5215	6451
447	5225	6438
448	5236	6426
449	5246	6412
450	5256	6398
451	5265	6384
452	5277	6372
453	5287	6358
454	5299	6347
455	5309	6334
456	5320	6322
457	5332	6310
458	5343	6297
459	5353	6284
460	5363	6271
461	5373	6257
462	5383	6243
463	5395	6232
464	5405	6219
465	5415	6205
466	5426	6193
467	5437	6181
468	5450	6171
469	5462	6159
470	5477	6152
471	5487	6138
472	5499	6127
473	5511	6115
474	5521	6102
475	5532	6090
476	5542	6077
477	5552	6063
478	5562	6050
479	5572	6036
480	5583	6024
481	5595	6013
482	5605	5999
483	5616	5987
484	5626	5974
485	5636	5961
486	5647	5948
487	5657	5935
488	5669	5924
489	5678	5910
490	5688	5897
491	5698	5883
492	5710	5872
493	5720	5858
494	5731	5847
495	5743	5835
496	5752	5821
497	5762	5808
498	5772	5795
499	5784	5784
500	5794	5771
501	5805	5759
502	5815	5745
503	5825	5732
504	5836	5721
505	5848	5709
506	5858	5696
507	5869	5684
508	5881	5673
509	5893	5662
510	5903	5649
511	5913	5635
512	5923	5623
513	5933	5610
514	5943	5597
515	5953	5583
516	5962	5570
517	5972	5557
518	5983	5545
519	5993	5532
520	6005	5521
521	6019	5511
522	6034	5503
523	6047	5493
524	6058	5481
525	6070	5470
526	6083	5460
527	6096	5449
528	6112	5441
529	6124	5431
530	6136	5420
531	6147	5408
